"TIME","GEO","CITIZEN","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2012","France","BN","Total","Total","Person","0",""
"2012","France","KH","Total","Total","Person","5",""
"2012","France","ID","Total","Total","Person","0",""
"2012","France","LA","Total","Total","Person","0",""
"2012","France","MY","Total","Total","Person","0",""
"2012","France","MM","Total","Total","Person","0",""
"2012","France","PH","Total","Total","Person","0",""
"2012","France","SG","Total","Total","Person","0",""
"2012","France","TH","Total","Total","Person","0",""
"2012","France","TL","Total","Total","Person","0",""
"2012","France","VN","Total","Total","Person","0",""
"2012","France","AM","Total","Total","Person","0",""
"2012","France","AZ","Total","Total","Person","0",""
"2012","France","BH","Total","Total","Person","0",""
"2012","France","GE","Total","Total","Person","0",""
"2012","France","IQ","Total","Total","Person","20",""
"2012","France","IL","Total","Total","Person","0",""
"2012","France","JO","Total","Total","Person","0",""
"2012","France","KW","Total","Total","Person","0",""
"2012","France","LB","Total","Total","Person","0",""
"2012","France","PS","Total","Total","Person","5",""
"2012","France","OM","Total","Total","Person","0",""
"2012","France","QA","Total","Total","Person","0",""
"2012","France","SA","Total","Total","Person","0",""
"2012","France","SY","Total","Total","Person","0",""
"2012","France","AE","Total","Total","Person","0",""
"2012","France","YE","Total","Total","Person","0",""
"2012","France","AU","Total","Total","Person","0",""
"2012","France","NZ","Total","Total","Person","0",""
"2012","France","FJ","Total","Total","Person","0",""
"2012","France","PG","Total","Total","Person","0",""
"2012","France","SB","Total","Total","Person","0",""
"2012","France","VU","Total","Total","Person","0",""
"2012","France","KI","Total","Total","Person","0",""
"2012","France","MH","Total","Total","Person","0",""
"2012","France","FM","Total","Total","Person","0",""
"2012","France","NR","Total","Total","Person","0",""
"2012","France","PW","Total","Total","Person","0",""
"2012","France","CK","Total","Total","Person","0",""
"2012","France","WS","Total","Total","Person","0",""
"2012","France","TO","Total","Total","Person","0",""
"2012","France","TV","Total","Total","Person","0",""
"2012","France","TOTAL","Total","Total","Person","100",""
"2013","France","AO","Total","Total","Person","0",""
"2013","France","CM","Total","Total","Person","0",""
"2013","France","CF","Total","Total","Person","0",""
"2013","France","TD","Total","Total","Person","0",""
"2013","France","CG","Total","Total","Person","0",""
"2013","France","CD","Total","Total","Person","20",""
"2013","France","GQ","Total","Total","Person","0",""
"2013","France","GA","Total","Total","Person","0",""
"2013","France","ST","Total","Total","Person","0",""
"2013","France","BI","Total","Total","Person","0",""
"2013","France","KM","Total","Total","Person","0",""
"2013","France","DJ","Total","Total","Person","0",""
"2013","France","ER","Total","Total","Person","0",""
"2013","France","ET","Total","Total","Person","10",""
"2013","France","KE","Total","Total","Person","0",""
"2013","France","MG","Total","Total","Person","0",""
"2013","France","MW","Total","Total","Person","0",""
"2013","France","MU","Total","Total","Person","0",""
"2013","France","MZ","Total","Total","Person","0",""
"2013","France","RW","Total","Total","Person","5",""
"2013","France","SC","Total","Total","Person","0",""
"2013","France","SO","Total","Total","Person","0",""
"2013","France","UG","Total","Total","Person","0",""
"2013","France","TZ","Total","Total","Person","0",""
"2013","France","ZM","Total","Total","Person","0",""
"2013","France","ZW","Total","Total","Person","0",""
"2013","France","DZ","Total","Total","Person","0",""
"2013","France","EG","Total","Total","Person","0",""
"2013","France","LY","Total","Total","Person","0",""
"2013","France","MA","Total","Total","Person","0",""
"2013","France","SS","Total","Total","Person","0",""
"2013","France","SD","Total","Total","Person","0",""
"2013","France","TN","Total","Total","Person","0",""
"2013","France","EH","Total","Total","Person","0",""
"2013","France","BW","Total","Total","Person","0",""
"2013","France","LS","Total","Total","Person","0",""
"2013","France","NA","Total","Total","Person","0",""
"2013","France","ZA","Total","Total","Person","0",""
"2013","France","SZ","Total","Total","Person","0",""
"2013","France","BJ","Total","Total","Person","0",""
"2013","France","BF","Total","Total","Person","0",""
"2013","France","CV","Total","Total","Person","0",""
"2013","France","CI","Total","Total","Person","0",""
"2013","France","GM","Total","Total","Person","0",""
"2013","France","GH","Total","Total","Person","0",""
"2013","France","GN","Total","Total","Person","0",""
"2013","France","GW","Total","Total","Person","0",""
"2013","France","LR","Total","Total","Person","0",""
"2013","France","ML","Total","Total","Person","0",""
"2013","France","MR","Total","Total","Person","0",""
"2013","France","NE","Total","Total","Person","0",""
"2013","France","NG","Total","Total","Person","0",""
"2013","France","SN","Total","Total","Person","0",""
"2013","France","SL","Total","Total","Person","0",""
"2013","France","TG","Total","Total","Person","0",""
"2013","France","CA","Total","Total","Person","0",""
"2013","France","US","Total","Total","Person","0",""
"2013","France","AG","Total","Total","Person","0",""
"2013","France","BS","Total","Total","Person","0",""
"2013","France","BB","Total","Total","Person","0",""
"2013","France","CU","Total","Total","Person","0",""
"2013","France","DM","Total","Total","Person","0",""
"2013","France","DO","Total","Total","Person","0",""
"2013","France","GD","Total","Total","Person","0",""
"2013","France","HT","Total","Total","Person","0",""
"2013","France","JM","Total","Total","Person","0",""
"2013","France","KN","Total","Total","Person","0",""
"2013","France","LC","Total","Total","Person","0",""
"2013","France","VC","Total","Total","Person","0",""
"2013","France","TT","Total","Total","Person","0",""
"2013","France","BZ","Total","Total","Person","0",""
"2013","France","CR","Total","Total","Person","0",""
"2013","France","SV","Total","Total","Person","0",""
"2013","France","GT","Total","Total","Person","0",""
"2013","France","HN","Total","Total","Person","0",""
"2013","France","MX","Total","Total","Person","0",""
"2013","France","NI","Total","Total","Person","0",""
"2013","France","PA","Total","Total","Person","0",""
"2013","France","AR","Total","Total","Person","0",""
"2013","France","BO","Total","Total","Person","0",""
"2013","France","BR","Total","Total","Person","0",""
"2013","France","CL","Total","Total","Person","0",""
"2013","France","CO","Total","Total","Person","0",""
"2013","France","EC","Total","Total","Person","0",""
"2013","France","GY","Total","Total","Person","0",""
"2013","France","PY","Total","Total","Person","0",""
"2013","France","PE","Total","Total","Person","0",""
"2013","France","SR","Total","Total","Person","0",""
"2013","France","UY","Total","Total","Person","0",""
"2013","France","VE","Total","Total","Person","0",""
"2013","France","KZ","Total","Total","Person","0",""
"2013","France","KG","Total","Total","Person","0",""
"2013","France","TJ","Total","Total","Person","0",""
"2013","France","TM","Total","Total","Person","0",""
"2013","France","UZ","Total","Total","Person","0",""
"2013","France","CN","Total","Total","Person","0",""
"2013","France","JP","Total","Total","Person","0",""
"2013","France","MN","Total","Total","Person","0",""
"2013","France","KP","Total","Total","Person","0",""
"2013","France","KR","Total","Total","Person","0",""
"2013","France","TW","Total","Total","Person","0",""
"2013","France","AF","Total","Total","Person","15",""
"2013","France","BD","Total","Total","Person","0",""
"2013","France","BT","Total","Total","Person","0",""
"2013","France","IN","Total","Total","Person","0",""
"2013","France","IR","Total","Total","Person","0",""
"2013","France","MV","Total","Total","Person","0",""
"2013","France","NP","Total","Total","Person","0",""
"2013","France","PK","Total","Total","Person","10",""
"2013","France","LK","Total","Total","Person","5",""
"2013","France","BN","Total","Total","Person","0",""
"2013","France","KH","Total","Total","Person","0",""
"2013","France","ID","Total","Total","Person","0",""
"2013","France","LA","Total","Total","Person","0",""
"2013","France","MY","Total","Total","Person","0",""
"2013","France","MM","Total","Total","Person","0",""
"2013","France","PH","Total","Total","Person","0",""
"2013","France","SG","Total","Total","Person","0",""
"2013","France","TH","Total","Total","Person","0",""
"2013","France","TL","Total","Total","Person","0",""
"2013","France","VN","Total","Total","Person","0",""
"2013","France","AM","Total","Total","Person","0",""
"2013","France","AZ","Total","Total","Person","0",""
"2013","France","BH","Total","Total","Person","0",""
"2013","France","GE","Total","Total","Person","0",""
"2013","France","IQ","Total","Total","Person","0",""
"2013","France","IL","Total","Total","Person","0",""
"2013","France","JO","Total","Total","Person","0",""
"2013","France","KW","Total","Total","Person","0",""
"2013","France","LB","Total","Total","Person","0",""
"2013","France","PS","Total","Total","Person","0",""
"2013","France","OM","Total","Total","Person","0",""
"2013","France","QA","Total","Total","Person","0",""
"2013","France","SA","Total","Total","Person","0",""
"2013","France","SY","Total","Total","Person","0",""
"2013","France","AE","Total","Total","Person","0",""
"2013","France","YE","Total","Total","Person","0",""
"2013","France","AU","Total","Total","Person","0",""
"2013","France","NZ","Total","Total","Person","0",""
"2013","France","FJ","Total","Total","Person","0",""
"2013","France","PG","Total","Total","Person","0",""
"2013","France","SB","Total","Total","Person","0",""
"2013","France","VU","Total","Total","Person","0",""
"2013","France","KI","Total","Total","Person","0",""
"2013","France","MH","Total","Total","Person","0",""
"2013","France","FM","Total","Total","Person","0",""
"2013","France","NR","Total","Total","Person","0",""
"2013","France","PW","Total","Total","Person","0",""
"2013","France","CK","Total","Total","Person","0",""
"2013","France","WS","Total","Total","Person","0",""
"2013","France","TO","Total","Total","Person","0",""
"2013","France","TV","Total","Total","Person","0",""
"2013","France","TOTAL","Total","Total","Person","90",""
"2014","France","AO","Total","Total","Person","0",""
"2014","France","CM","Total","Total","Person","0",""
"2014","France","CF","Total","Total","Person","0",""
"2014","France","TD","Total","Total","Person","0",""
"2014","France","CG","Total","Total","Person","5",""
"2014","France","CD","Total","Total","Person","30",""
"2014","France","GQ","Total","Total","Person","0",""
"2014","France","GA","Total","Total","Person","0",""
"2014","France","ST","Total","Total","Person","0",""
"2014","France","BI","Total","Total","Person","0",""
"2014","France","KM","Total","Total","Person","0",""
"2014","France","DJ","Total","Total","Person","0",""
